ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
13903,3403126,Active,330452,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Fulton Street,N,Howard Avenue,MacDougal Street,40.67885106,-73.92010879,1006409.324,186610.2669,POINT (-73.920108794836 40.678851061437)
6367,3623027,Active,334995,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Eldert Lane,W,Liberty Avenue,Glenmore Avenue,40.67863221,-73.86535824,1021595.53,186549.1283,POINT (-73.865358239479 40.678632207579)
12583,3073050,Active,314079,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,84 Street,S,New Utrecht Avenue,18 Avenue,40.60875756,-74.00130535,983887.5562,161063.1888,POINT (-74.001305349808 40.608757562528)
742,1228460,Active,109217,2 HR Pas Mon-Sat 0930-1900,,On Street,Manhattan,West 164 Street,N,Broadway,St. Nicholas Avenue,40.83824398,-73.94114849,1000534.555,244677.6974,POINT (-73.941148492075 40.83824397874)
5179,3383031,Active,339493,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Avenue L,S,East 94 Street,East 95 Street,40.63738223,-73.89717265,1012788.825,171508.659,POINT (-73.897172654597 40.6373822256)
508,1058396,Active,114304,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Magaw Place,W,West 181 Street,West 182 Street,40.85085176,-73.93734266,1001584.366,249271.9155,POINT (-73.937342658161 40.850851758693)
10171,1403140,Active,105432,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,11 Avenue,E,West 51 Street,West 52 Street,40.76684283,-73.99378692,985971.0405,218658.3396,POINT (-73.993786920558 40.766842827013)
5869,3313046,Active,303943,2 HR Pas 0800-1900 Mon-Thur/4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,Elm Avenue,S,East 14 Street,East 15 Street,40.61766206,-73.96026006,995282.7328,164309.8299,POINT (-73.960260057613 40.617662061156)
2028,2162850,Active,217165,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,Lafayette Avenue,S,Revere Avenue,East Tremont Avenue,40.82946848,-73.82551158,1032538.303,241523.0803,POINT (-73.825511578179 40.829468475439)
15088,1363003,Active,109378,2 HR Pas Mon-Fri 1300-1900 /2 HR Pas Sat 0900-1900,,On Street,Manhattan,Amsterdam Avenue,E,West 140 Street,West 141 Street,40.82248137,-73.94949183,998229.2151,238933.3604,POINT (-73.94949183464 40.822481373395)
